t,log_t,vth_average
0.008013229128397317,-4.826661337217926,1.2201019363058876
0.008508630582641036,-4.766674150426498,1.222411928053469
0.009034659211810998,-4.706686963635072,1.2247405642612785
0.009593208477938741,-4.6466997768436435,1.2270880802158604
0.010186288902447405,-4.586712590052215,1.2294547112037584
0.010816035303107664,-4.526725403260787,1.231859382248337
0.011484714478403534,-4.466738216469356,1.2343206603727588
0.012194733366968063,-4.4067510296779275,1.236826312690222
0.012948647711459768,-4.346763842886499,1.239363917519763
0.013749171258064964,-4.286776656095071,1.2419210531804188
0.014599185524740606,-4.226789469303643,1.2444852979912255
0.015501750173358569,-4.166802282512215,1.2470442302712197
0.01646011402308643,-4.106815095720787,1.2495854283394376
0.017477726744647794,-4.046827908929359,1.252096470514916
0.01855825127755623,-3.9868407221379307,1.2545649351166912
0.019705577015019106,-3.9268535353465026,1.2569784004637994
0.020923833803970955,-3.8668663485550745,1.2593252574106575
0.0222174068106301,-3.8068791617636464,1.261609464836455
0.023590952305087686,-3.7468919749722183,1.2638427506784953
0.02504941442174645,-3.68690478818079,1.266035807097883
0.02659804295593909,-3.626917601389362,1.2681993262557245
0.02824241226078595,-3.566930414597934,1.270344000313125
0.029988441312311993,-3.506943227806506,1.27248052143119
0.03184241501504834,-3.4469560410150777,1.2746195817710246
0.033811006824808774,-3.3869688542236496,1.2767718734937343
0.03590130277007275,-3.3269816674322215,1.278948088760425
0.038120826958441066,-3.2669944806407933,1.2811589197322015
0.04047756865997553,-3.2070072938493652,1.2834150585701694
0.04298001106491042,-3.147020107057937,1.2857372076225146
0.04563716181925021,-3.087032920266509,1.288139628395805
0.04845858544816773,-3.027045733475081,1.2906026087205211
0.05145443778391223,-2.9670585466836528,1.2931056271186359
0.05463550252215192,-2.9070713598922246,1.2956281621121222
0.058013230038337124,-2.8470841731007965,1.2981496922229545
0.06159977860380544,-2.787096986309365,1.3006496959731062
0.06540805814998656,-2.7271097995179368,1.3031076518845506
0.06945177673824122,-2.6671226127265086,1.3055030384792614
0.07374548990260005,-2.6071354259350805,1.3078153342792118
0.07830465304301668,-2.5471482391436524,1.310024017806376
0.08314567705772577,-2.4871610523522243,1.3121102713145643
0.08828598741495693,-2.427173865560796,1.3140998400108157
0.09374408687663574,-2.367186678769368,1.3160162647633564
0.09953962209984851,-2.30719949197794,1.3178703001048622
0.10569345435580536,-2.247212305186512,1.3196727005680076
0.11222773462085774,-2.1872251183950837,1.3214342206854683
0.1191659833098633,-2.1272379316036556,1.3231656149899196
0.12653317493890215,-2.0672507448122275,1.3248776380140368
0.13435582802209092,-2.0072635580207994,1.3265810442904953
0.1426621005260826,-1.9472763712293713,1.3282865883519706
0.15148189122584402,-1.8872891844379431,1.3300050247311377
0.16084694732654567,-1.827301997646515,1.3317471079606722
0.17079097873895344,-1.767314810855087,1.333505266733212
0.18134977941966088,-1.7073276240636588,1.3352349554702427
0.19256135621293188,-1.6473404372722307,1.3369415910100686
0.20446606565792447,-1.5873532504808026,1.3386341708306833
0.21710675925374015,-1.5273660636893744,1.3403216924100805
0.2305289377051853,-1.4673788768979463,1.3420131532262538
0.24478091470445956,-1.4073916901065182,1.3437175507571972
0.2599139908383097,-1.34740450331509,1.345443882480904
0.2759826382466354,-1.287417316523662,1.3472011458753679
0.29304469669723276,-1.2274301297322339,1.3489983384185826
0.31116158178245573,-1.1674429429408058,1.3508444575885419
0.3303985059872067,-1.1074557561493776,1.3527487174535513
0.35082471342400257,-1.047468569357946,1.3547294238929304
0.37251372908004604,-0.9874813825665179,1.3567844844111434
0.3955436234734967,-0.9274941957750897,1.3589005477708436
0.4199972936715587,-0.8675070089836616,1.361064262734683
0.4459627616819392,-0.8075198221922335,1.3632622780653136
0.4735334912917435,-0.7475326354008054,1.3654812425253884
0.5028087244942818,-0.6875454486093773,1.3677078048775588
0.5338938387147714,-0.6275582618179492,1.369928613884478
0.5669007261207818,-0.567571075026521,1.3721303183087974
0.6019481963827681,-0.5075838882350929,1.3742995669131697
0.6391624043344435,-0.4475967014436648,1.3764230084602471
0.6786773040723757,-0.3876095146522367,1.3784982769426886
0.7206351311293541,-0.3276223278608086,1.3805645516951852
0.7651869144571342,-0.26763514106938047,1.3826244871823952
0.8124930200614603,-0.20764795427795235,1.3846754189229638
0.8627237282462038,-0.14766076748652424,1.3867146824355372
0.9160598465444331,-0.08767358069509612,1.3887396132387608
0.9726933605426836,-0.027686393903668005,1.3907475468512804
1.032828124941099,0.03230079288776011,1.3927358187917414
1.0966805973369431,0.09228797967918823,1.3947017645787898
1.1644806173727655,0.15227516647061634,1.396642719731071
1.2364722340537997,0.21226235326204446,1.3985560197672304
1.312914584212555,0.27224954005347257,1.4004390081979508
1.3940828252826734,0.3322367268449007,1.4022999798573579
1.4802691257396106,0.3922239136363288,1.4041465853543258
1.5717837167732707,0.4522111004277569,1.405976877629081
1.668956008978139,0.512198287219185,1.4077889096218505
1.772135778080481,0.5721854740106131,1.4095807342728603
1.8816944239706919,0.6321726608020448,1.4113504045223373
1.998026307572695,0.6921598475934729,1.4130959733105075
2.121550170362605,0.752147034384901,1.4148154935775983
2.252710641646144,0.8121342211763292,1.416507018263835
2.3919798390204132,0.8721214079677573,1.4181686003094454
2.53985906778091,0.9321085947591854,1.419798292654655
2.6968806253908895,0.9920957815506135,1.421391737901203
2.863609717508324,1.0520829683420416,1.422934863224043
3.0406464924672894,1.1120701551334697,1.4244333335152517
3.228628201536967,1.1720573419248979,1.4258963213201965
3.4282314927342212,1.232044528716326,1.4273329991842454
3.6401748464464068,1.292031715507754,1.4287525396527656
3.8652211616315464,1.3520189022991822,1.4301641152711242
4.10418050190501,1.4120060890906103,1.4315768985846893
4.357913011397349,1.4719932758820384,1.4330000621388281
4.627332010879031,1.5319804626734665,1.4344427784789082
4.913407285296723,1.5919676494648947,1.4359142201502972
5.217168574554732,1.6519548362563228,1.4374235596983627
5.539709280106812,1.711942023047751,1.4389971578355047
5.882190400700391,1.771929209839179,1.4406486013179052
6.245844711440078,1.8319163966306071,1.4423561680159194
6.631981201213163,1.8919035834220352,1.444097964053462
7.041989784449812,1.9518907702134634,1.4458520955544487
7.477346304178142,2.0118779570048915,1.4475966686427952
7.9396178443828695,2.0718651437963196,1.4493097894424174
8.430468370789596,2.1318523305877477,1.4509695640772302
8.951664720378966,2.191839517379176,1.452554098671149
9.505082961190215,2.251826704170604,1.4540414993480897
10.0927151453065,2.3118138909620356,1.4554098722319682
10.71667647932947,2.3718010777534637,1.456641879446255
11.379212938154037,2.431788264544892,1.457776783725912
12.08270934944871,2.49177545133632,1.4588386917403267
12.829697977942482,2.551762638127748,1.4598400148378678
